                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92973,                0.56589,                0.85936,                0.89177,                0.77879,                0.86282,                0.60427,                0.96721,                0.55856,                0.87018,              0.0001941,              0.0001941,              0.0001941
                      2,                0.97217,                0.59675,                0.86242,                0.87208,                 0.7742,                0.85522,                0.59526,                 0.9908,                0.58104,                0.87442,             0.00038624,             0.00038624,             0.00038624
                      3,                 1.0131,                0.62762,                0.87556,                0.88351,                0.75567,                0.84946,                0.58852,                 1.0017,                0.61251,                0.87366,             0.00057449,             0.00057449,             0.00057449
                      4,                 1.0112,                0.62663,                0.87395,                0.86279,                0.74606,                0.84364,                0.57796,                 1.0158,                0.61647,                0.88191,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.0152,                0.63762,                0.87607,                0.87813,                0.74801,                0.84127,                0.58229,                  1.007,                0.61711,                0.87607,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.0184,                0.63874,                0.87355,                0.87927,                0.75763,                0.84856,                0.58484,                 1.0079,                0.60702,                0.87629,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.0191,                0.63386,                0.87343,                0.87753,                0.76425,                0.85037,                0.57987,                 1.0163,                 0.6144,                0.87831,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.0138,                0.64106,                0.87219,                0.86973,                0.75505,                0.83945,                0.57959,                 1.0053,                0.62425,                0.87994,             0.00055307,             0.00055307,             0.00055307
                      9,                  1.031,                0.64862,                0.88072,                0.88164,                0.76761,                0.85402,                0.59204,                 1.0026,                  0.604,                0.87852,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0277,                0.64313,                0.87458,                0.86982,                0.75029,                0.84258,                0.58285,                 1.0034,                0.61969,                0.87779,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.0215,                0.64308,                0.88257,                0.85123,                0.77119,                0.84916,                0.58104,                 1.0263,                0.62527,                 0.8851,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0251,                0.64106,                0.87509,                0.89393,                0.76668,                0.85921,                0.59814,                 1.0025,                0.60489,                0.87321,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0163,                0.62653,                0.87105,                0.89017,                0.76751,                0.85688,                0.59206,                 1.0146,                0.59739,                0.87858,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0158,                0.63077,                0.87356,                 0.8987,                0.76583,                0.85693,                0.59081,                 1.0088,                0.59689,                 0.8789,             0.00051815,             0.00051815,             0.00051815
                     15,                0.99749,                0.61389,                0.87249,                0.87926,                0.76255,                0.85156,                0.58719,                 1.0064,                0.59982,                0.88004,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0181,                0.63131,                0.87264,                0.88702,                0.76057,                0.85256,                0.58378,                  1.009,                0.59505,                0.87925,              0.0005065,              0.0005065,              0.0005065
                     17,                  1.027,                0.63641,                0.87794,                0.88445,                0.77207,                0.85664,                0.59436,                0.99923,                0.58342,                0.87645,             0.00050068,             0.00050068,             0.00050068
