                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94911,                0.58505,                0.99435,                0.94406,                0.83186,                0.91729,                0.71309,                0.95687,                0.67871,                 1.0421,              0.0018367,              0.0018367,              0.0018367
                     36,                0.93249,                 0.5779,                0.99651,                0.95706,                0.83099,                0.91036,                0.72455,                 0.9477,                0.67285,                  1.033,              0.0018317,              0.0018317,              0.0018317
                     37,                 0.9482,                0.57418,                 1.0106,                0.97688,                0.84507,                0.94222,                0.72737,                0.95851,                0.66776,                 1.0332,              0.0018267,              0.0018267,              0.0018267
                     38,                 0.9214,                0.57654,                0.99619,                0.96648,                0.81221,                0.91659,                 0.7091,                 1.0267,                0.66114,                 1.0754,              0.0018218,              0.0018218,              0.0018218
                     39,                0.92884,                0.57668,                0.99291,                0.96771,                0.80282,                0.90646,                0.70671,                0.93195,                0.66878,                 1.0087,              0.0018168,              0.0018168,              0.0018168
                     40,                0.94239,                0.59099,                 1.0039,                 0.9323,                 0.8169,                0.91604,                0.71053,                0.92155,                0.70621,                 1.0151,              0.0018119,              0.0018119,              0.0018119
                     41,                0.95752,                 0.5822,                 1.0085,                 0.9442,                0.83416,                0.92027,                0.70853,                0.97315,                 0.7007,                 1.0206,              0.0018069,              0.0018069,              0.0018069
                     42,                0.93589,                0.59669,                0.99088,                 0.9668,                0.82042,                0.92835,                0.71725,                0.95607,                0.62876,                 1.0514,               0.001802,               0.001802,               0.001802
                     43,                0.94604,                 0.5798,                 1.0144,                0.92834,                0.86666,                0.93105,                0.71499,                0.96202,                0.65065,                 1.0422,              0.0017971,              0.0017971,              0.0017971
                     44,                0.93857,                0.57854,                 1.0091,                0.93571,                0.83451,                0.93322,                0.71952,                0.96093,                0.68334,                 1.0504,              0.0017921,              0.0017921,              0.0017921
                     45,                0.91666,                0.55678,                 0.9848,                 0.9453,                0.83451,                 0.9522,                0.73547,                0.94196,                0.63143,                 1.0366,              0.0017872,              0.0017872,              0.0017872
                     46,                0.92224,                 0.5588,                  1.004,                0.92266,                0.85915,                0.91712,                0.70499,                0.99882,                0.66692,                 1.0502,              0.0017822,              0.0017822,              0.0017822
                     47,                0.91653,                0.55997,                0.99533,                0.95175,                0.83351,                0.92487,                0.72139,                0.96009,                0.67121,                 1.0413,              0.0017772,              0.0017772,              0.0017772
                     48,                0.90135,                 0.5618,                0.97783,                0.94134,                0.83099,                0.90765,                0.70924,                0.98919,                0.71084,                 1.0761,              0.0017723,              0.0017723,              0.0017723
                     49,                0.91313,                0.57258,                0.98827,                0.94475,                0.84298,                0.91604,                0.71261,                0.96854,                0.67952,                 1.0567,              0.0017674,              0.0017674,              0.0017674
                     50,                0.90035,                0.53957,                0.99667,                0.95695,                0.82042,                0.91622,                0.72211,                0.98669,                0.69812,                 1.0623,              0.0017624,              0.0017624,              0.0017624
                     51,                0.90668,                0.53558,                0.98627,                0.95151,                0.82907,                0.93574,                0.72688,                0.95847,                0.63815,                 1.0241,              0.0017575,              0.0017575,              0.0017575
                     52,                0.91881,                0.52793,                0.98737,                0.95362,                0.82042,                0.92139,                0.71982,                0.92236,                0.70948,                  1.021,              0.0017525,              0.0017525,              0.0017525
                     53,                0.92508,                 0.5491,                0.99183,                0.94192,                0.85915,                0.92978,                0.73011,                0.93641,                0.62617,                 1.0214,              0.0017476,              0.0017476,              0.0017476
                     54,                0.89088,                0.53635,                  0.984,                0.94161,                0.85169,                0.92739,                0.72194,                 0.9865,                0.62745,                 1.0304,              0.0017426,              0.0017426,              0.0017426
                     55,                0.88751,                 0.5317,                0.98108,                0.95456,                 0.8136,                0.90545,                0.73124,                0.92845,                0.77068,                 1.0474,              0.0017376,              0.0017376,              0.0017376
                     56,                0.88655,                0.53208,                0.97489,                0.92367,                0.83451,                0.92162,                0.72885,                0.96596,                0.71027,                 1.0422,              0.0017327,              0.0017327,              0.0017327
                     57,                0.89345,                0.53056,                0.97558,                0.95187,                0.85563,                0.92757,                0.72778,                0.96541,                0.64961,                 1.0337,              0.0017278,              0.0017278,              0.0017278
                     58,                0.87355,                0.51514,                0.96814,                0.95031,                0.82746,                0.90513,                0.71746,                0.96641,                0.65479,                 1.0423,              0.0017228,              0.0017228,              0.0017228
                     59,                0.88494,                0.54501,                0.97934,                0.97586,                0.85413,                0.92757,                0.72195,                0.98434,                0.64191,                 1.0359,              0.0017179,              0.0017179,              0.0017179
                     60,                0.89693,                0.54011,                 0.9819,                0.94136,                0.84785,                0.91686,                0.73308,                0.91562,                0.65894,                 1.0325,              0.0017129,              0.0017129,              0.0017129
                     61,                0.88038,                0.52768,                0.98578,                0.94626,                0.84507,                0.91037,                0.71463,                0.99222,                0.65873,                 1.0605,               0.001708,               0.001708,               0.001708
                     62,                 0.8755,                0.51493,                0.97221,                0.93628,                0.82778,                0.91901,                0.72439,                0.93571,                0.65144,                 1.0548,               0.001703,               0.001703,               0.001703
                     63,                0.86506,                0.51084,                0.97185,                 0.9304,                0.84722,                0.92484,                0.73064,                0.91903,                0.67106,                 1.0244,               0.001698,               0.001698,               0.001698
                     64,                0.88371,                0.51406,                0.97462,                0.96526,                0.84507,                0.91839,                0.71906,                0.97187,                0.61322,                 1.0459,              0.0016931,              0.0016931,              0.0016931
                     65,                0.89726,                0.50918,                0.98907,                0.92708,                 0.8838,                0.93866,                0.73892,                0.91162,                0.61778,                0.99411,              0.0016882,              0.0016882,              0.0016882
                     66,                0.87953,                0.51626,                0.97021,                0.95633,                0.83099,                0.91587,                0.73152,                0.89062,                0.68816,                 1.0096,              0.0016832,              0.0016832,              0.0016832
                     67,                 0.8756,                 0.5228,                0.98264,                0.89837,                0.88028,                0.93596,                0.74299,                0.90176,                0.64738,                 1.0101,              0.0016783,              0.0016783,              0.0016783
                     68,                0.87975,                0.51566,                0.97107,                0.91997,                 0.8662,                0.92551,                0.72998,                0.93012,                0.64894,                 1.0284,              0.0016733,              0.0016733,              0.0016733
                     69,                 0.8648,                0.51053,                0.97893,                0.92163,                 0.8282,                0.90023,                0.71689,                 0.9216,                0.75269,                  1.023,              0.0016684,              0.0016684,              0.0016684
                     70,                0.87333,                0.51515,                0.97479,                0.95779,                0.82042,                0.92141,                0.72063,                0.97054,                0.63349,                 1.0519,              0.0016634,              0.0016634,              0.0016634
                     71,                0.86342,                0.50918,                0.97631,                  0.952,                 0.8381,                0.92992,                0.73875,                0.92172,                0.59115,                 1.0385,              0.0016585,              0.0016585,              0.0016585
                     72,                0.87538,                0.51073,                0.97976,                0.94613,                0.86571,                0.94039,                0.74692,                0.89919,                0.59582,                0.99551,              0.0016535,              0.0016535,              0.0016535
                     73,                0.85667,                0.50203,                0.96409,                0.95913,                0.82634,                0.91885,                0.72929,                0.90473,                0.63337,                 1.0091,              0.0016485,              0.0016485,              0.0016485
                     74,                0.84249,                0.48579,                 0.9667,                0.92448,                0.83451,                0.92714,                0.74133,                0.87789,                0.63954,                 1.0067,              0.0016436,              0.0016436,              0.0016436
                     75,                0.85665,                0.49682,                0.96908,                 0.9361,                0.82528,                0.91863,                0.74947,                0.88482,                0.63071,                 1.0228,              0.0016386,              0.0016386,              0.0016386
