                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0653,                0.71703,                0.88642,                0.82954,                0.70874,                0.80465,                0.54702,                 1.0263,                0.67909,                0.88237,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.0679,                 0.7211,                0.88706,                0.83945,                0.72264,                0.80618,                0.55195,                 1.0097,                0.66235,                0.88225,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.0656,                0.70763,                0.88569,                0.83988,                0.71296,                0.80634,                0.54889,                 1.0291,                 0.6646,                0.88283,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.0551,                0.70982,                0.88965,                0.84887,                0.72693,                   0.81,                0.55142,                 1.0128,                0.66494,                 0.8802,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.0726,                0.71462,                0.89261,                0.83351,                0.72198,                0.80346,                0.54495,                 1.0251,                0.67316,                0.88592,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.0422,                 0.6842,                0.88274,                0.84735,                 0.7239,                0.81426,                 0.5635,                0.99635,                0.64834,                0.87952,             0.00036679,             0.00036679,             0.00036679
                     41,                  1.048,                0.69573,                0.88319,                0.86585,                0.72212,                0.82124,                0.56726,                0.99967,                0.64623,                0.87805,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.0633,                0.70209,                0.88734,                0.85541,                0.73299,                0.82151,                0.55988,                 1.0066,                0.64753,                0.88041,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.0325,                0.68103,                0.87882,                0.86664,                0.71628,                0.81591,                0.56081,                 1.0018,                0.65205,                0.88002,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.0451,                0.68532,                0.88336,                0.85567,                0.73393,                0.82392,                0.56267,                 1.0089,                0.63679,                 0.8805,             0.00034351,             0.00034351,             0.00034351
                     45,                  1.033,                0.67362,                  0.883,                0.86147,                0.72973,                0.82359,                0.56743,                 1.0019,                0.62988,                0.88116,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.0329,                0.67706,                 0.8825,                0.86099,                0.73154,                0.82633,                0.56857,                0.99474,                0.63199,                0.87903,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.0444,                0.67575,                0.88651,                0.86613,                 0.7323,                0.82634,                0.56976,                0.99608,                0.62518,                  0.877,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.0154,                0.64813,                0.87835,                 0.8568,                 0.7396,                0.82701,                0.57089,                0.99613,                0.62793,                0.87629,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.0344,                0.66688,                0.87961,                0.87629,                0.72243,                0.82677,                0.57303,                0.99727,                0.62705,                 0.8767,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.0352,                0.66455,                0.88073,                0.85828,                0.73942,                0.82741,                0.57318,                0.98233,                0.61994,                0.87495,             0.00030858,             0.00030858,             0.00030858
                     51,                 1.0311,                0.66142,                0.88082,                0.85698,                0.74791,                0.83026,                0.57831,                 0.9805,                0.62128,                0.87408,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.0167,                0.65344,                0.88047,                0.85273,                0.74762,                0.83335,                0.57587,                0.99606,                0.61041,                0.87497,             0.00029694,             0.00029694,             0.00029694
                     53,                 1.0319,                0.65639,                0.88051,                0.85862,                0.74949,                0.83235,                0.57902,                0.98483,                0.61689,                0.87486,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.0224,                0.65245,                0.88002,                0.85834,                0.75344,                 0.8357,                0.58163,                0.98624,                 0.6062,                0.87576,              0.0002853,              0.0002853,              0.0002853
                     55,                  1.027,                0.65022,                 0.8758,                0.85958,                0.75895,                0.83729,                0.57805,                 0.9913,                 0.6068,                 0.8757,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.0233,                 0.6506,                0.87961,                0.85843,                0.75774,                0.83814,                 0.5847,                0.98193,                0.60611,                 0.8734,             0.00027366,             0.00027366,             0.00027366
                     57,                 1.0095,                0.63707,                0.87711,                0.85649,                0.76266,                 0.8395,                0.58336,                0.98725,                0.60258,                0.87665,             0.00026783,             0.00026783,             0.00026783
                     58,                 1.0046,                0.63551,                0.87476,                0.86387,                0.75365,                0.83622,                 0.5818,                0.97809,                0.60406,                0.87434,             0.00026201,             0.00026201,             0.00026201
                     59,                 1.0149,                0.64109,                0.87734,                0.87236,                0.75023,                0.83602,                0.58568,                0.97411,                0.60202,                0.87381,             0.00025619,             0.00025619,             0.00025619
                     60,                 1.0039,                0.63093,                0.87831,                0.86659,                0.74962,                0.83989,                0.58631,                0.97513,                0.59496,                0.87432,             0.00025037,             0.00025037,             0.00025037
                     61,                0.99765,                0.62895,                0.87322,                0.87995,                0.75319,                0.84369,                0.58798,                0.98064,                0.59654,                0.87453,             0.00024455,             0.00024455,             0.00024455
                     62,                 1.0067,                0.63537,                 0.8785,                0.86783,                0.76187,                0.84116,                0.58784,                 0.9802,                0.59776,                0.87402,             0.00023873,             0.00023873,             0.00023873
                     63,                0.98415,                0.61922,                 0.8742,                0.87445,                0.75525,                0.84309,                0.58677,                0.97794,                0.59031,                0.87375,             0.00023291,             0.00023291,             0.00023291
                     64,                0.98766,                0.61777,                0.87396,                0.86371,                0.75772,                0.84131,                0.58453,                  0.979,                0.59433,                0.87271,             0.00022709,             0.00022709,             0.00022709
                     65,                0.99696,                0.62125,                0.86994,                0.88091,                0.75114,                0.84824,                0.59214,                0.98125,                0.59002,                0.87393,             0.00022126,             0.00022126,             0.00022126
                     66,                0.98135,                0.61382,                0.87246,                0.86776,                0.76376,                0.84724,                0.59407,                0.96921,                0.58357,                0.87078,             0.00021544,             0.00021544,             0.00021544
                     67,                0.97721,                0.61159,                0.87435,                 0.8783,                0.76439,                0.85158,                0.59704,                0.96361,                0.58179,                0.87002,             0.00020962,             0.00020962,             0.00020962
                     68,                0.99279,                0.61539,                0.86943,                0.89373,                0.75437,                0.84929,                0.59295,                0.97764,                0.58529,                0.87191,              0.0002038,              0.0002038,              0.0002038
                     69,                0.98121,                0.60888,                 0.8661,                 0.8757,                0.76971,                 0.8536,                0.59688,                0.97123,                0.57736,                0.87191,             0.00019798,             0.00019798,             0.00019798
                     70,                0.97238,                0.60783,                0.86675,                0.87661,                 0.7659,                0.85144,                 0.5944,                0.97326,                 0.5757,                0.87361,             0.00019216,             0.00019216,             0.00019216
                     71,                0.98855,                0.61123,                0.86631,                0.86447,                0.77493,                0.85279,                0.59802,                0.96561,                0.57251,                0.87172,             0.00018634,             0.00018634,             0.00018634
                     72,                0.97197,                 0.6036,                0.87072,                0.87687,                0.77467,                0.85569,                 0.5983,                0.96495,                0.57275,                0.87145,             0.00018052,             0.00018052,             0.00018052
                     73,                0.95844,                0.59595,                0.86332,                0.87967,                0.76485,                0.85397,                0.60102,                0.96188,                0.57162,                0.87059,             0.00017469,             0.00017469,             0.00017469
                     74,                 0.9552,                0.58548,                 0.8635,                0.88084,                0.76314,                0.85213,                0.59833,                0.96332,                0.57411,                0.87279,             0.00016887,             0.00016887,             0.00016887
                     75,                0.94695,                0.59141,                0.86978,                0.87594,                0.77241,                0.85477,                0.59751,                0.96173,                0.57591,                0.87097,             0.00016305,             0.00016305,             0.00016305
                     76,                0.96117,                0.59688,                 0.8675,                0.88866,                0.76088,                0.85341,                0.59622,                0.96816,                0.57018,                 0.8709,             0.00015723,             0.00015723,             0.00015723
                     77,                0.95785,                0.58937,                0.86607,                0.86884,                0.78034,                0.85525,                0.60292,                 0.9595,                0.56418,                0.87037,             0.00015141,             0.00015141,             0.00015141
                     78,                0.94244,                0.57776,                0.86111,                0.88093,                0.77955,                0.85721,                0.60402,                0.95437,                0.56372,                0.86863,             0.00014559,             0.00014559,             0.00014559
                     79,                0.96341,                0.59092,                0.86575,                0.87427,                0.78134,                0.85904,                0.60313,                0.95987,                 0.5634,                0.86988,             0.00013977,             0.00013977,             0.00013977
                     80,                0.95337,                 0.5835,                0.86324,                0.87411,                0.78202,                0.85683,                 0.6011,                0.96428,                 0.5625,                0.87023,             0.00013395,             0.00013395,             0.00013395
                     81,                 0.9492,                0.58159,                0.86598,                0.87708,                0.78268,                 0.8589,                0.60247,                 0.9604,                0.56108,                0.87031,             0.00012813,             0.00012813,             0.00012813
                     82,                0.94679,                0.58291,                0.86283,                0.88259,                0.77898,                0.86109,                0.60357,                  0.965,                0.55863,                0.86974,              0.0001223,              0.0001223,              0.0001223
                     83,                0.93773,                0.57242,                 0.8582,                0.90062,                0.77312,                0.86331,                0.60793,                0.95708,                0.55485,                0.86973,             0.00011648,             0.00011648,             0.00011648
                     84,                0.94584,                0.57857,                0.86144,                0.88611,                0.78117,                0.86299,                0.60763,                0.95334,                 0.5542,                0.86874,             0.00011066,             0.00011066,             0.00011066
                     85,                0.93229,                 0.5661,                0.86246,                0.88266,                0.77777,                0.86242,                0.60737,                0.95333,                0.55336,                0.86741,             0.00010484,             0.00010484,             0.00010484
                     86,                  0.931,                0.57209,                0.85917,                0.89477,                0.78365,                0.86422,                0.61048,                0.95121,                0.54952,                0.86714,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.93568,                 0.5718,                0.86189,                 0.8779,                 0.7878,                  0.863,                0.60848,                0.94919,                0.55141,                0.86754,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 0.9369,                0.56984,                0.86031,                 0.8953,                0.77666,                0.86299,                0.60963,                0.95329,                 0.5512,                0.86807,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.94068,                0.57439,                0.86102,                0.89174,                0.78459,                0.86532,                0.60961,                0.95665,                0.55124,                0.86943,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.94139,                0.56804,                0.86326,                0.89649,                 0.7773,                0.86364,                 0.6107,                0.95701,                0.54989,                0.86891,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.91761,                0.52196,                0.85494,                0.88618,                0.77844,                0.86244,                0.60542,                0.95466,                0.55497,                0.86848,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.90925,                 0.5188,                0.85496,                0.87962,                 0.7865,                0.86333,                0.60922,                0.95294,                0.54873,                0.86727,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.90926,                0.52114,                0.85403,                0.88329,                0.78489,                0.86237,                 0.6089,                0.95217,                0.54831,                0.86765,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.90953,                0.52187,                0.85879,                0.87717,                0.78668,                0.86372,                0.61052,                0.94619,                0.54619,                0.86726,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.90389,                0.51864,                0.85565,                0.88178,                0.78718,                0.86342,                0.61082,                0.95001,                0.54456,                0.86816,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.90388,                0.51783,                0.85025,                0.88387,                 0.7862,                0.86382,                0.61199,                0.94857,                 0.5454,                 0.8673,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.89387,                0.51249,                0.84997,                0.88149,                0.78843,                0.86292,                0.60915,                0.94794,                0.54603,                0.86701,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.89794,                0.51015,                0.85312,                0.87923,                0.78681,                0.86415,                0.61191,                0.94583,                0.54385,                0.86693,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.88677,                0.50537,                0.85121,                0.88089,                0.79137,                0.86415,                0.61361,                0.94416,                0.54265,                0.86605,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.89197,                0.50876,                0.85553,                   0.88,                  0.785,                 0.8632,                0.61183,                0.94796,                0.54344,                0.86681,             1.7522e-05,             1.7522e-05,             1.7522e-05
